78	중앙값 / 2024년	7000.00	6185.00	4500.00	3500.00
79	(단위: 만원, %) / 2025년	7354.00	6525.00	4410.00	3684.00
80	부채 / 금융부채 / 담보대출 / 전체가구 / 평 균 / 2024년	5272.81	5765.38	3190.93	2304.88
81	6. 금융부채의 분포(계속) / 2025년	5565.17	6281.71	3165.56	2398.27
82	보유가구 / 비 율 / 2024년	36.74	42.23	21.75	16.53
83	2025년	35.95	40.42	22.29	17.48
84	중앙값 / 2024년	10000.00	8500.00	7300.00	6500.00
85	(단위: 만원, %) / 2025년	10000.00	9300.00	7000.00	6200.00
86	부채 / 금융부채 / 신용대출 / 전체가구 / 평 균 / 2024년	945.93	1033.93	421.42	322.45
87	6. 금융부채의 분포(계속) / 2025년	833.24	959.79	436.14	329.89
88	보유가구 / 비 율 / 2024년	21.64	26.66	10.44	7.46
89	2025년	19.53	24.81	10.41	7.70
90	중앙값 / 2024년	2300.00	2000.00	1840.00	1500.00
91	(단위: 만원, %) / 2025년	2308.00	2275.00	1980.00	1500.00
92	부채 / 금융부채 / 신용카드 관련 대출 / 전체가구 / 평 균 / 2024년	51.63	78.82	41.59	35.15
93	6. 금융부채의 분포(계속) / 2025년	53.44	86.07	37.10	28.89
94	보유가구 / 비 율 / 2024년	3.50	5.76	2.39	2.28
95	2025년	3.37	5.44	2.54	1.99
96	중앙값 / 2024년	1000.00	900.00	1000.00	750.00
97	(단위: 만원, %) / 2025년	1000.00	1000.00	900.00	900.00
98	부채 / 금융부채 / 기타 대출(외상, 할부 등) / 전체가구 / 평 균 / 2024년	366.92	463.10	228.32	174.58
99	6. 금융부채의 분포(계속) / 2025년	342.75	447.71	249.80	181.24
100	보유가구 / 비 율 / 2024년	17.00	21.28	11.35	9.01
101	2025년	16.02	20.33	11.77	9.07
102	중앙값 / 2024년	560.00	660.00	360.00	274.00
103	(단위: 만원, %) / 2025년	600.00	700.00	400.00	300.00
104	부채 / 임대보증금 / 전체가구 / 평 균 / 2024년	2490.96	2976.06	2446.14	2085.45
105	7. 임대보증금의 분포 / 2025년	2739.20	3268.80	2615.60	2054.73
106	보유가구 / 비 율 / 2024년	15.47	17.37	18.03	17.28
107	2025년	15.46	18.15	17.51	16.97
108	중앙값 / 2024년	7000.00	8000.00	5000.00	4000.00
109	(단위: 만원, %) / 2025년	7000.00	8000.00	5000.00	3800.00
110	순자산 / 전체가구 / 평 균 / 2024년	44893.89	51131.07	51922.44	46594.48
111	8. 순자산의 분포 / 2025년	47143.70	55161.04	53591.29	49278.88
112	비 율 / 2024년	100.00	100.00	100.00	100.00
113	2025년	100.00	100.00	100.00	100.00
114	중앙값 / 2024년	24000.00	30454.00	25200.00	22250.00
115	(단위: 만원, %) / 2025년	23860.00	31685.00	25000.00	22100.00
116	9. 가구소득, 비소비지출 및 원리금상환액 / 가구소득 / 전체가구 / 평균 / 2023년	7185.15	8890.72	5511.71	4375.08
117	2024년	7427.32	9416.43	5767.21	4727.58
118	중앙값 / 2023년	5681.00	7345.00	3827.00	2917.00
119	2024년	5800.00	7805.00	3978.00	3198.00
120	비소비지출 / 전체가구 / 평균 / 2023년	1320.93	1765.45	831.63	593.05
121	2024년	1395.58	1940.40	876.63	633.53
122	중앙값 / 2023년	768.00	1143.00	335.00	205.00
123	(단위: 만원) / 2024년	795.00	1225.00	349.00	214.00
